Key Detection Comparison Results
===================================

Total files compared: 336
Exact matches: 123 (36.6%)
Enharmonic matches: 23 (6.8%)
Different keys: 190 (56.5%)
Total agreement: 146 (43.5%)

Files with different key detections:
--------------------------------------------------------------------------------
1215364_riding-with-nosferatu_preview_15s.mp3: Librosa=G# minor, Madmom=A minor
1251344_braveness_preview_15s.mp3: Librosa=G major, Madmom=E minor
1251424_souvenirs_preview_15s.mp3: Librosa=A major, Madmom=D major
1251486_heartfelt_preview_15s.mp3: Librosa=F minor, Madmom=Db major
1251571_a-long-night_preview_15s.mp3: Librosa=E major, Madmom=A minor
1251791_elegant-euphoria_preview_15s.mp3: Librosa=C minor, Madmom=Eb major
1251793_soar-beyond-the-clouds_preview_15s.mp3: Librosa=G major, Madmom=C major
1252023_reflections-for-piano_preview_15s.mp3: Librosa=E minor, Madmom=C major
1252037_turkey-in-the-straw_preview_15s.mp3: Librosa=B minor, Madmom=G major
1252048_highland-spring_preview_15s.mp3: Librosa=E minor, Madmom=G major
1252053_irish-hornpipes_preview_15s.mp3: Librosa=F# minor, Madmom=A major
1252062_irish-fiddle-triple-hornpipe_preview_15s.mp3: Librosa=A major, Madmom=D minor
1252074_northumbrian-dances_preview_15s.mp3: Librosa=A major, Madmom=D major
1252082_irish-reel-set-#1_preview_15s.mp3: Librosa=F# minor, Madmom=D major
1252087_la-partida_preview_15s.mp3: Librosa=E minor, Madmom=A minor
1252090_she-moved-through-the-fair_preview_15s.mp3: Librosa=D major, Madmom=G major
1252095_morgan-rattler_preview_15s.mp3: Librosa=F# minor, Madmom=D major
1252314_road_preview_15s.mp3: Librosa=G major, Madmom=C minor
1252395_dark-light_preview_15s.mp3: Librosa=A minor, Madmom=E minor
1252455_unshine_preview_15s.mp3: Librosa=C# minor, Madmom=A major
1252657_don't-give-up_preview_15s.mp3: Librosa=C major, Madmom=A minor
1253029_mathilde's-piano_preview_15s.mp3: Librosa=F major, Madmom=D minor
1253054_revolution_preview_15s.mp3: Librosa=A minor, Madmom=D minor
1253056_dark-hill-house_preview_15s.mp3: Librosa=D minor, Madmom=G minor
1253062_the-end_preview_15s.mp3: Librosa=C major, Madmom=A minor
1253065_not-far-to-go_preview_15s.mp3: Librosa=F major, Madmom=Bb major
1253096_pendulum_preview_15s.mp3: Librosa=C major, Madmom=C minor
1253160_piano-anyone__preview_15s.mp3: Librosa=A minor, Madmom=C major
1253163_peaceful-morning_preview_15s.mp3: Librosa=C# major, Madmom=F# minor
1253167_beethoven---für-elise-(solo-piano)_preview_15s.mp3: Librosa=E major, Madmom=A minor
1253172_satie---gymnopedie-no1_preview_15s.mp3: Librosa=D major, Madmom=B minor
1253212_satie---gymnopedie-no2_preview_15s.mp3: Librosa=G major, Madmom=C major
1253699_silent-night-lullaby_preview_15s.mp3: Librosa=G# minor, Madmom=E major
1253718_silent-night-(harp-solo)_preview_15s.mp3: Librosa=E minor, Madmom=C major
1253768_reborn_preview_15s.mp3: Librosa=C major, Madmom=F major
1253802_away-in-a-manger-(classical-guitar)_preview_15s.mp3: Librosa=A minor, Madmom=F major
1255770_from-the-heart_preview_15s.mp3: Librosa=A major, Madmom=D major
1255814_my-time-with-you_preview_15s.mp3: Librosa=D# minor, Madmom=G# minor
1255929_a-special-place_preview_15s.mp3: Librosa=G major, Madmom=A minor
1255934_the-days-go-by_preview_15s.mp3: Librosa=G major, Madmom=C major
1255935_this-is-love_preview_15s.mp3: Librosa=D major, Madmom=G major
1255946_just-a-minute_preview_15s.mp3: Librosa=A major, Madmom=A minor
1255984_on-this-moment_preview_15s.mp3: Librosa=A major, Madmom=A minor
1255992_footsteps-from-here_preview_15s.mp3: Librosa=G major, Madmom=C major
1256003_where-the-heart-is_preview_15s.mp3: Librosa=A# major, Madmom=Eb major
1256004_the-times-we-had_preview_15s.mp3: Librosa=B minor, Madmom=E minor
1256030_speak-to-me_preview_15s.mp3: Librosa=D# major, Madmom=Ab major
1256047_i'll-hold-your-hand_preview_15s.mp3: Librosa=E major, Madmom=C# minor
1256062_my-love_preview_15s.mp3: Librosa=A minor, Madmom=D minor
1256122_one-last-time_preview_15s.mp3: Librosa=F# minor, Madmom=A major
1256125_imagine-anything_preview_15s.mp3: Librosa=B major, Madmom=E major
1256132_passing-beauty_preview_15s.mp3: Librosa=C# minor, Madmom=A major
1257273_those-furthest-places_preview_15s.mp3: Librosa=C# major, Madmom=Bb minor
1257750_piano-d'orient_preview_15s.mp3: Librosa=C major, Madmom=Db major
396842_yellowstone_preview_15s.mp3: Librosa=G minor, Madmom=Eb major
397238_time-goes-by_preview_15s.mp3: Librosa=G# minor, Madmom=C# minor
438284_breathe-life_preview_15s.mp3: Librosa=G# major, Madmom=F minor
438629_good-natured_preview_15s.mp3: Librosa=F major, Madmom=C major
438635_maybe-if_preview_15s.mp3: Librosa=G minor, Madmom=Eb major
438653_always-with-you_preview_15s.mp3: Librosa=A minor, Madmom=G major
438656_by-the-phone_preview_15s.mp3: Librosa=G minor, Madmom=C minor
438686_smooth-dudes_preview_15s.mp3: Librosa=C major, Madmom=F major
438689_smoochie_preview_15s.mp3: Librosa=A minor, Madmom=C major
438698_raindrops-on-the-lake_preview_15s.mp3: Librosa=C major, Madmom=E minor
438701_fresh_preview_15s.mp3: Librosa=A# major, Madmom=Eb major
438704_nice-walk_preview_15s.mp3: Librosa=F# major, Madmom=B major
474185_last-summer_preview_15s.mp3: Librosa=C major, Madmom=A minor
482003_delicate-moments_preview_15s.mp3: Librosa=C major, Madmom=F minor
486815_hanging-on-to-hope_preview_15s.mp3: Librosa=E major, Madmom=E minor
487277_sea-horses_preview_15s.mp3: Librosa=B major, Madmom=G# minor
491977_quiet-stillness_preview_15s.mp3: Librosa=C minor, Madmom=F minor
492637_open-spaces_preview_15s.mp3: Librosa=C minor, Madmom=Eb major
499441_some-distant-lights_preview_15s.mp3: Librosa=A# minor, Madmom=F minor
499492_these-other-places_preview_15s.mp3: Librosa=E minor, Madmom=A minor
500077_under-a-spell_preview_15s.mp3: Librosa=F minor, Madmom=Db major
510500_ave-maria-(solo-piano-arrangement)_preview_15s.mp3: Librosa=G major, Madmom=C major
510518_between-the-seas_preview_15s.mp3: Librosa=F major, Madmom=F minor
515521_blue-world_preview_15s.mp3: Librosa=B minor, Madmom=C major
515671_the-letter_preview_15s.mp3: Librosa=D major, Madmom=G minor
518092_empty-paper_preview_15s.mp3: Librosa=C# minor, Madmom=A major
520486_a-little-time_preview_15s.mp3: Librosa=G# minor, Madmom=E major
520669_flower-in-hand_preview_15s.mp3: Librosa=D minor, Madmom=F major
